Section,Category,Item_Description,Status_Value,Owner,Links
Metadata,Release Info,Environment,Stage,,
Metadata,Release Info,Status,Good,,
Metadata,Release Info,Prod release owner,"@Deepti Vaidyula ,  @Umamahesh @Harika Guntamukkala",,
Metadata,Release Info,Release date, 20 March26,,
Metadata,Release Info,DB changes,Connect : No change,,
Metadata,Release Info,Platform,No change,,
Metadata,Release Info,Notification, No change,,
Metadata,Release Info,Branch,hotfix/2026.03.19,,
Artefacts,Artefacts,Chip1 CRM WebUI,2026.03.19.3,,
Artefacts,Artefacts,Release 2,,,
Artefacts,Artefacts,chip1-crm-webui,2026.03.19.5,,
Artefacts,Artefacts,Production Test Data,,,
Artefacts,Artefacts,Update production test data generated here,https://docs.google.com/spreadsheets/d/1jQQV8nW7Rlz6OD6bs4qdRfk517clUb5TRfFz47FoR3s/edit?gid=0#gid=0,,
Artefacts,Artefacts,QE documentation link,https://altirllc.sharepoint.com/:w:/r/sites/Altir-Chip1/Shared%20Documents/General/Quality%20Engineering/Project%20documents/Chip1%20QE%20Documentation.docx?d=w75141a22221e423a9dd922e367268bb5&csf=1&web=1&e=gWiCGh ## WHAT'S TESTED FOR THE RELEASE? layout fix in account users island - UI   @Harika Guntamukkala - UX change save invoicing method correctly (invoice -> payments) - UI  @Harika Guntamukkala - Verified use region currency on dashboard - UI  -  @Deepti Vaidyula - Verified Enabling Campaign to Production as Campaign is now driven on permissions - UI,,
Artefacts,Artefacts,Teams #,March18_06 : UI  @Deepti Vaidyula - Verified,,
Artefacts,Artefacts,Stock Lines - Enable permissions,UI  @Umamahesh -Verified Sales activity - Sales is not seeing the pricing column - BE  @Harika Guntamukkala For offers we need to hide supplier name for regular sales folks - BE  @Umamahesh - Verified,,
Artefacts,Artefacts,Password autocomplete improvement (sign in)  https,//github.com/altirllc/chip1-webui/pull/3106 @Harika Guntamukkala - Verified,,
Artefacts,Artefacts,Use user region currency (or fundCode) instead of hardcoded USD in different places  https,//github.com/altirllc/chip1-webui/pull/3108 @Harika Guntamukkala - Verified,,
Artefacts,Artefacts,Release 2," Campaign pages are all loading RFQ mandatory fields removed. Could create RFQ without these fields. Same for copy&paste. Sales order - info pane - redundant card removed Permissions - latest changes are visible page navigations rfq-quote-sales create and sync Purchasing flows were covered just sometime back. So, didn't check this. Open issues on Stage",,
Artefacts,Artefacts,Private ( https,//app.clickup.com/8651091/docs/880ak-50654/880ak-52214 ),,
Artefacts,Artefacts,Issues on stage,- Link Issue Description Remarks,,
Artefacts,Artefacts,--- Issues on prod,- Link Issue Description Remarks ---,,
