Section,Category,Item_Description,Status_Value,Owner,Links
Metadata,Release Info,Environment,Stage,,
Metadata,Release Info,Status,Good,,
Metadata,Release Info,Prod release owner,"@Umamahesh ,  @Deepti Vaidyula ,  @Harika Guntamukkala",,
Metadata,Release Info,Release date,2026.02.03,,
Metadata,Release Info,DB changes,Connect : hotfix/2026.02.03,,
Metadata,Release Info,Platform,hotfix/2026.02.03,,
Metadata,Release Info,Notification, No changes,,
Metadata,Release Info,Branch,hotfix/2026.02.03,,
Artefacts,Artefacts,Chip1 Transaction,2026.02.03.1,,
Artefacts,Artefacts,Chip1 CRM WebUI,2026.02.03.2,,
Artefacts,Artefacts,Production Test Data,,,
Artefacts,Artefacts,Update production test data generated here,https://docs.google.com/spreadsheets/d/1jQQV8nW7Rlz6OD6bs4qdRfk517clUb5TRfFz47FoR3s/edit?gid=0#gid=0,,
Artefacts,Artefacts,QE documentation link,"https://altirllc.sharepoint.com/:w:/r/sites/Altir-Chip1/Shared%20Documents/General/Quality%20Engineering/Project%20documents/Chip1%20QE%20Documentation.docx?d=w75141a22221e423a9dd922e367268bb5&csf=1&web=1&e=gWiCGh ### FOLLOWING ITEMS ARE PART OF THE RELEASE Account Create Do not make contact as mandatory - I hope BE does not need this. If so, we should let Tejaswini know to make Make website as mandatory Account Profile Display whole description in account profile (Currently only first line is shown and rest we need to hover) RFQ -> Part Costs column in UI should be unitPrice Purchase flow bugs reported yesterday Null on recording response UI bug Removed mocked Seimens data on UI for PO outbound - price jolt mapping fixed View PDF from RFQ → Quote SO inbound Status mapping fix Mapped below approval attribute",,
Artefacts,Artefacts,"""parameterApproval""","""lines[&1].approvals.paramApproval"",",,
Artefacts,Artefacts,"""pricingApproval""","""lines[&1].additionalAttributes.pricingApproval"",",,
Artefacts,Artefacts,"""exportApproval""","""lines[&1].approvals.exportApproval"",",,
Artefacts,Artefacts,"""postApproval""","""lines[&1].additionalAttributes.postApproval"",",,
Artefacts,Artefacts,"""exportApprovalDucoument""","""lines[&1].additionalAttributes.exportApprovalDucoument"",",,
Artefacts,Artefacts,UAT fixes," - added In Sourcing card to SR microdashboard, added default filters for all dashboard queries 10. In point #46, Part Souring Rename stock to Qty. So we change the column header to “Qty | Allocated”. Rename Available to Available Qty. This field is technical useful only for stock and not for others. So do not show 0, it is confusing for everyone. Please minize the column width as much as possible in many cases. Folks want to see more information here. Combine Warehouse and location into a single column. When multiple MPNs are entered in the text box it is not considering them as separate parts. The assumption was anything in new line should be cosnidered as a separate part.",,
Artefacts,Artefacts,Automation report, ## 🧪DEV ONLY (NO ASSIGNEE MENTIONED) Bugs in build,,
Artefacts,Artefacts,Missed in production, ## MC1 SANITY TESTS,,
Artefacts,Artefacts,Note,"The sanity tests to check will be selected based on the release Feature / Flow Validation Details Stage Prod Remarks New User Signup (MC1) Validated the new user signup flow from MC1 and confirmed account creation, including the LA transfer. Validated the new user signup flow from MC1. Confirmed account creation in MC1, including the LA transfer. MC1 User Invite & Signup Validated the user invitation flow from xCRM and CRM2. Validated signup completion. Validated user access provisioning. Upload BOM Validated the BOM upload from MC1 and CRM Confirmed the uploaded part details in CRM, MC1, and xCRM - Verified pricing information in CRM and MC1 Checked sourcing plan details in CRM and MC1 Ensured no automatic RFQs were generated when uploaded from CRM. Upload Excess - Verified the excess upload from MC1 and CRM. Confirmed the visibility of part details in CRM and MC1. Manual RFQ Validated the creation of RFQs with approved alternatives from MC1. Validated the creation of RFQs without approved alternatives from MC1. Validated standalone RFQ creation from xCRM. Validated RFQ details in the list view. Validated data synchronization between MC1, CRM, and xCRM. Validated RFQ status updates across systems. RFQ Update Validated RFQ updates in MC1, CRM, and xCRM. Confirmed that an MPN change creates a new request line. - Verified updated details in the list view. Confirmed status updates in CRM and xCRM. RFQ – Multiline Validated the creation of multiline RFQs Ensured data synchronization across systems Confirmed the accuracy of list view details - Verified status updates across CRM and xCRM systems Active Quote – Create Validated the RFQ and Quote creation flow in CRM. Validated standalone quote creation in CRM and xCRM. Validated data synchronization across MC1, CRM, and xCRM. Validated quote details in the list view. Validated status updates across systems. Active Quote – Edit Validated quote updates across systems. Confirmed that an MPN change creates a new quote line. - Verified updated quote details in the list view. Ensured status updates across CRM and xCRM. Active Quote – Multiline Validated the creation of multiline quotes Validated quote details in the list view Validated data synchronization across systems Validated status updates across CRM and xCRM Sales Order – Create Validated the RFQ → Quote → Sales Order flow. Validated standalone Sales Order creation in both CRM and xCRM. Validated RFQ from MC1 and Quote/SO from xCRM. Validated data synchronization across MC1, CRM, and xCRM. Validated Sales Order details in the list view. Validated status updates across systems. Sales Order – Edit Validated the Sales Order edit functionality. Confirmed data synchronization across systems. - Verified updated details in the list view. Ensured status consistency between CRM and xCRM. Sales Order – Multiline Validated the creation of multiline sales orders. Ensured data synchronization across systems. Confirmed status updates across CRM and xCRM. Quality Control (PO Number) Validated the PO number association in MC12. Validated the Quality Control workflow in MC1. Invoice Generation Validated the invoice generation flow in MC12. Confirmed the accuracy of invoice data in MC1. Lead Account & Transfer Validated the creation and transfer of leads, ensuring synchronization across MC1, CRM, and xCRM. Bids Validated bid creation flow Validated bid updates Validated data synchronization between MC1 and xCRM Parts Tracker Validated parts tracking functionality Ensured data accuracy Global Search Validated the global search functionality. Validated module-level search results for each entity. Page Navigations Validated navigation across key modules. - Verified page load and access behavior. Edit Project Validated the project edit functionality. Confirmed data persistence after updates or partial edits. Notification Emails Validated notification email triggers Validated email content - - - Download & Upload Templates (BOM/Excess) Validated template download Validated template upload after data entry Concierge Service Validated the concierge service workflow Sorting Validated the sorting functionality across list views. Filters Validated the filter functionality across all modules. Pricing – OEM Secrets Confirmed the visibility of OEM pricing retrieval in the UI. Pricing – IC - Verified the visibility of IC pricing fetch in the UI. Pricing – xCRM Validated the visibility of xCRM pricing fetch in the UI.",,
Artefacts,Artefacts,## CRM SANITY TESTS,,,
