Section,Category,Item_Description,Status_Value,Owner,Links
Metadata,Release Info,Environment,Stage,,
Metadata,Release Info,Status,Good,,
Metadata,Release Info,Prod release owner,"@Deepti Vaidyula ,  @Harika Guntamukkala ,  @Umamahesh",,
Metadata,Release Info,Release date,2026.02.27,,
Metadata,Release Info,DB changes,Connect : No Change,,
Metadata,Release Info,Platform,No Change,,
Metadata,Release Info,Notification, No Change,,
Metadata,Release Info,Branch,hotfix/2026.02.27,,
Artefacts,Artefacts,Chip1 CRM WebUI,2026.02.27.3,,
Artefacts,Artefacts,Production Test Data,,,
Artefacts,Artefacts,Update production test data generated here,https://docs.google.com/spreadsheets/d/1jQQV8nW7Rlz6OD6bs4qdRfk517clUb5TRfFz47FoR3s/edit?gid=0#gid=0,,
Artefacts,Artefacts,QE documentation link,https://altirllc.sharepoint.com/:w:/r/sites/Altir-Chip1/Shared%20Documents/General/Quality%20Engineering/Project%20documents/Chip1%20QE%20Documentation.docx?d=w75141a22221e423a9dd922e367268bb5&csf=1&web=1&e=gWiCGh Following items are part of the release @Deepti Vaidyula Sales Orders - Fixes & Improvements ( ),,
Artefacts,Artefacts,feat(crm/rfq),Create - Add Lead time field - verified,,
Artefacts,Artefacts,feat(crm/so),Create - Pre-populate fields from rfq line - verified,,
Artefacts,Artefacts,feat(crm/so),"Details - Show ""Approved"" when all approvals are checked - Verified for SO parent and order line",,
Artefacts,Artefacts,feat(crm/so),Line details - Details number fields formatting,,
Artefacts,Artefacts,fix(crm/so),Details - Costs and payments table ID col,,
Artefacts,Artefacts,fix(crm),Prevent page from failing when with micro dashboard query ( ) Shipments - List empty message ( ) - Verified @Umamahesh,,
Artefacts,Artefacts,Hotfix,"receiving lines and po line sorting and filters changes ( ) Receiving lines / Stock lines added sorting options for mpn, manufacturer, supplier, status columns Po lines Fixed sorting issues for status column Added following new filters 1. Users + roles 2. Region 3. expectedDeliveryDate 4. Priority 5. Payment Status 6. Sub Status 7. LeadTimeStatus 8. Priority - Added crm deep link on Info pane and details page",,
Artefacts,Artefacts,Should be covered in regression for this,,,
Artefacts,Artefacts,Refactor,refactored save and update functionality ( ) ( ),,
Artefacts,Artefacts,Refactor,refactored save and update functionality,,
Artefacts,Artefacts,Refactor,refactored functionality on Update flow,,
Artefacts,Artefacts,Refactor,Not displaying action column when it is readOnly,,
Artefacts,Artefacts,Refactor,removed unwanted comments,,
Artefacts,Artefacts,Refactor,refactored search,,
Artefacts,Artefacts,Refactor,Not displaying AllocationSummary when assigned PO's are more than 1,,
Artefacts,Artefacts,Refcator,Updated the payload on update and delete,,
Artefacts,Artefacts,Refactor,updated payload on both update and delete,,
Artefacts,Artefacts,Refactor,added a notification to display if the selected item is already on the allocation list,,
Artefacts,Artefacts,Sales,,,
Artefacts,Artefacts,Add region filter in Sales Order and Sales Order lines, LeadTime field on OrderLine Details Island,,
Artefacts,Artefacts,Sourcing Bug fix,"- link Sales Enhancement Add a nav called Sales Orders in Warehouse and add  SO and SO Lines (p1) Permissions for only WH managers to see it Show Only SOs that are not in ""Created"" or ""Procured"" or ""Closed"" status. Essentially showing shippable SOs Add a region filter for order and order lines in both Sales and Warehouse navigation. Pls check with Tejaswini for any questions. Do not show price in the list view.",,
Artefacts,Artefacts,Feat,SO List under warehouse ( ),,
Artefacts,Artefacts,feat(SO & SO lines),add region filter ( ) -added region filter for sales order and sales order lines list page See PR for images. Fix/new fields so ( ),,
Artefacts,Artefacts,hf-refactor(sourcing),add supplier column onclick redirection to details page ( ) -added supplier column onclick redirection to details page See PR for images.,,
Artefacts,Artefacts,Purchasing,,,
Artefacts,Artefacts,Warehouse enhancements," Show received qty in RL details Change the order of tabs as Line Details Quality Control Allocation Part Details Part Documents Documents Task Timeline Receiving line list view Add  Temp Location as as separate column Add Location as as separate column Remove Qty received as it is redundant Show sub status along with status For status updated date, show another column “Status date | Updated By”  and add date and time (bug?) Updated by not showing any name Flip Date code and Lot code - Show “Date Code | Lot Code” Add PO Number | SO Number Change receiving line list view default column sequence Line ID MPN Allocation Status Status date Temp Location Quality Inspector Supplier xCRM ID Date Code | Lot Code Country of Origin",,
Artefacts,Artefacts,Hotfix,Receiving line details tab and columns reorder ( ) Change the order of tabs as Line Details Quality Control Allocation Part Details Part Documents Documents Task Timeline Change receiving line list view default column sequence Line ID MPN Allocation Status Status date Location Temp Location Quality Inspector Supplier xCRM ID Date Code | Lot Code Receiving Line Details Island Rename Instock field to to Recieved Issues on stage Identifier /link Description,,
Artefacts,Artefacts,Teams #,Feb27_07 Shipping options are not carry forwarded from Create SO to Order line details,,
Artefacts,Artefacts,Harika Guntamukkala,"Srinidhi, In PROD lookup values are missing for ""preferred La... | chip1-releases | Microsoft Teams In Prod & Stage lookup values are missing for ""preferred Language"" and ""Contact Source"" fields under contact creation form",,
Artefacts,Artefacts,Deepti Vaidyula,"RFQ creation is failing from Contact -> Create RFQ fab https:... | Chip1-Integration | Microsoft Teams RFQ creation is failing from Contact -> Create RFQ fab Language,Dimensional Units",,
