Release_File,Release_Label,Release_Date,Environment,Release_Status,CHP_Items_Deployed,Features_Touched_Count,Features_Touched,Categories_Affected,Readiness_Score,Go_No_Go,Is_Hotfix,Top_Evidence
21-May26-20260522113104.csv,21-May26,2026-05-21,Stage,Good,1,16,"Fix segment filter logic and remove contact-lead feature flag | Filter Fixes: Adjusted contactListSegments.getSegment to correctly use pathnames instead of full URLs, resolvi... | Feature Flag Removal: Removed contact-lead feature flag as it is fully deployed in production. Cleaned up gate... | Unified Filtering Logic: Streamlined segment-driven filtering for Active, Inactive, and Lead tabs to consisten... | feat WarehouseStock: Adds an Export All button to the WarehouseStock top filter bar that POSTs the current fil... | fix crm: Add CopyButton to extension field in FormikContactRowField to copy full phone+extension Add CopyButto... | Shipment: Add missing fields | New Field: Added a ""Box Condition"" dropdown to each box in the packaging details form +8 more",API|Accounts|Parts|Purchasing|Sales|UI|Warehouse,100,GO,NO,"Fix segment filter logic and remove contact-lead feature flag
(
)"
20-May26-20260522113100.csv,20-May26,2026-05-20,Stage,Good,1,25,"ContactCard: add website display and link functionality to contact summary card | fix textarea: preserve full email text when pasting into multiline fields What's the problem When users copy a... | feat: Create bulk offers modal Bulk offer creation from SR list view Bulk Send Offer Request from SR List View... | OB: Account, Contact, allocation(stockId, quantity and landed cost) sync fix - IB : Commission, allocation(sto... | Quote PDF: Hongkong address fix, tel, email info was missing | Quotes: Added multiple quotes send on RFQLine Quotes Tabs Add fundcode, Shipping address, incoterms to Quote l... | In RFQ Quote list: Add xCRM Quote link for xCRM Ids | Sourcing: Source Offers section fix in part sourcing eliminate duplicate /filter requests and remove GroupByEn... +17 more",API|Accounts|General|Purchasing|Sales|UI|Warehouse,100,GO,NO,ContactCard: add website display and link functionality to contact summary card ( // )
15-May26-20260522113056.csv,15-May26,2026-05-15,Stage,Good,0,4,"General: QC History | update: Sourcing Request show tags column on list view Offers Set the default expiry to two weeks. On creation... | ### ISSUES ON STAGE: I have created a multi-line shipment and the CRR generated for this is failing with the f... | ""errorCode"": Is it valid scenario to update stock to Validated status without QC( marking directly marked QC c...",API|Accounts|Purchasing|Sales|UI|Warehouse,85,CONDITIONAL,NO,
14-May26-20260522113052.csv,14-May26,2026-05-14,Stage,Good,0,4,General: Charges entered in invoice created from shipment is not saving all the charges | General: Skip credit card validations if payment term is credit card for SO creation | General: Display the xCRM Invoice ID in Invoice list view | ## TESTING DONE: Ran basic sanity checks ## OPEN ISSUES ON STAGE For newly created in Apex(OB) invoice xcrm id...,API|Accounts|Purchasing|Sales|UI|Warehouse,85,CONDITIONAL,NO,
13-May26-20260522113048.csv,13-May26,2026-05-13,Stage,Good,0,15,New Added fields: Delivering To | New Added fields: Ship Via | New Added fields: Shipping Account Number | New Added fields: Inco terms | New Added fields: Inco City generate PDF per quote item instead of whole quote when specific items are selecte... | feat crm: Reorder Account Contacts 3-dot context menu items ) Changed insuranceStatus type from string to TSer... | Feat: Added new fields on Create a Quote and Edit Quote - Enabled on dev | feat: Added QUOTE_ITEM export type to ECrmExportFileType enum Updated export mutation to accept dynamic type o... +7 more,API|Accounts|Purchasing|Sales|UI|Warehouse,85,CONDITIONAL,NO,
12-May26-20260522113043.csv,12-May26,2026-05-12,Stage,Good,0,13,"feat: add campaign goal templates and signature management features Tested add create-campaign-goal flow with... | fix CampaignListTable: avoid 2 API calls on Campaigns page add CRR and packing slip generation to invoices and... | fix invoice: Renamed bankingCost → bankCost across all types, forms, utils, and locale to match the InvoiceInt... | Invoice: I can see additional cost in the edit modal but not in the details section. ShipQty Tested SO outboun... | CRM filters: add CRM-only reusable auto-enable for select-all on eligible multi-select filters add select-all... | Feat: Added added tabs on the Shipments UI add ""Create Part Manually"" to all MPN dropdowns, make manufacturer... | fix: Fix FormikPhoneCrm.toFormValue extracting empty countryCode when no country was selected in dropdown (pas... | Table: Add actions related to selected rows to table footer - Common component - not part of current release +5 more",API|Accounts|Purchasing|Sales|UI|Warehouse,85,CONDITIONAL,NO,
08-May-26-20260522113035.csv,08-May-26,2026-05-08,Stage,Good,0,8,"fix crm: send sales order salesperson via users payload Replaced salesPerson payload with users array for sale... | fix rfq: Fix RFQ sourcing type handling across RFQ edit flows to keep create/update/display consistent. | Stock: Use separate endpoints for MPN and Manufacturer filters (CRM(under warehouse stock only) & MC1 ) change... | Update: shipment line-level shipping options and consolidated invoice costs | update: Derive and display shipping options dynamically from order lines in CreateShipmentForm Simplify Invoic... | feat crm: Added additional-cost editing workflow for invoices with new modal and reusable form section. Implem... | chore api-contract: Added fetch-hub-spec.sh to read canonical OpenAPI specs from chip1-api-hub via gh api Upda... | Refactor: Part-related fields As per Om's request, we need to have very similar part-related fields in several...",API|Accounts|UI,85,CONDITIONAL,NO,
07-May-26-20260522113031.csv,07-May-26,2026-05-07,Stage,Good,0,9,"feat: enable loaders for shipment -> SO/PO lines tabs use ELookupCategory.Rfq for qcLevel in usePurchaseOrderF... | Fix: Warehouse status filter | Stock: Add ready to ship quantity add new columns to sr allocation modal | Feat: Add following columns to allocation list on sr allocation modal location, region, date code and rohs Add... | update: Ensure notes, website, and insuranceStatus fallback to empty strings instead of undefined or null duri... | Update: in Order Line Details -> Allocation Island summary for P it should be - if the value doesn't exist ins... | Fixes: Part column width too narrow, part name getting cut off - RFQ view Alternative Chip font size too large... | Refactor: In the RFQ details page (Inbound flow), the Account Info section shows an ""Oops"" error when created... +1 more",API|Accounts|General|Parts|Purchasing|Sales|UI|Warehouse,85,CONDITIONAL,NO,
05-May-26-20260522113027.csv,05-May-26,2026-05-05,Stage,Good,0,22,"General: Split Stock Functionality | General: In shipment details, indicate inbound vs. outbound somewhere in the header | General: Also add a section to show the packaging details that includes box info. | General: Enable Add arrival action once PO is approved. - For po, po line and receiving line | General: In add arrival - remove QC inspector as mandatory field | General: In Arrival step 2, change the view from grid view to add receiving type view. PO line on the top and... | General: Shipment list view - Account should be supplier that is copied from PO | General: Shipment list view - Shipping address and ship via can come from PO +14 more",API|Accounts|UI,85,CONDITIONAL,NO,
04-May26-20260522113023.csv,04-May26,2026-05-04,Stage,Good,0,9,"General: ## PO SHIPMENTS / SHIPPING FEATURES | Backport to develop: Feat: po shipments tab changes Shipments tab on PO — add a Shipments tab to the PO detail... | refactor campaign: Fix dark mode in campaign message bubbles add tooltips for conversation text and standardiz... | feat: ## INVOICE / TABLE UI use available vertical space for table - Fix not pushed to current release can be... | fix invoiceLines: ## ACCOUNT CREATION require phone number for account creation phone number mandatory in crea... | update: ## SALES ORDER disable Create Sales Order button when no quotes are selected | fix: Disable the ""Create Sales Order"" FAB action when no quotes are selected ## ALLOCATION / OPPORTUNITY UPDAT... | Allocation sync update: Merged to release and part of release validations +1 more",API|Accounts|UI,85,CONDITIONAL,NO,
