Area,Title,Description,Priority,Status,Assigned To,Change,QE comments,Type,Target Date,Created by,Created on,Canny 2
Part Sourcing,Sourcing Requests,Bug in SR (Canny Link),P1,In Review,Phani Yedidi,,,Purchasing,"May 22, 2026",Dipak Majhi,"May 12, 2026",false
General,xCRM user sync,"When records are syncing from Apex to xCRM, it is showing as MC1 user. Instead it should be the name of the real user, especially for RFQ, SOs etc.

Srinidhi Gundimi - RFQ, Quote, SO (All Done)

Nikhil Kumar Singh - PO (Done), Stock(Done)

Aditya Jain - Offers(Done) 

Tejaswini Allagadda - Invoice (Done)



Also take out HOTPART tag from RFQ on xCRM.",P0,On Production,"Pranab Dutta,Srinidhi Gundimi,Aditya Jain,Tejaswini Allagadda,Nikhil Kumar Singh",Sync,"[Pranab 17/04] Zohaib confirmed that the HOTPART tag is removed from xcrm 

[Pranab, 20/4] Zohaib to confirm the xcrm attribute mappings for createdBy, updatedBy attribute in Apex for different entities.



[QE comments, 11/05]:  Seeing ""isHotPart"": false in Apex response for RFQ

Under RFQ, in xcrm for createdBy seeing Mc1 user, and for updatedBy seeing aroosn1 mapping.

https://chip1.xchangecrm.com/web/requirements/cusreq/update?ID=3577131&REQ_CODE_=0&COMPANY_CODE_=4



SO : Sales Person seeing Aroos instead of Abhinay user

Updated By  - seeing as A A - Blocked



","Sales,Purchasing","Mar 25, 2026",Sai Nagboth,"Mar 23, 2026",false
General,User ID reconciliation,Ideally we should try to map the user to region+userid so it gets mapped to the right user on crm side.,P2,Dev Ready,Pranab Dutta,Sync,,"Sales,Purchasing",,Pranab Dutta,"Apr 20, 2026",false
General,Tasks Improvements,"Make following improvements to tasks

1. In all transactions where create task is there do not make assignee read only. Currently in account it is that way. <DONE> 
2. When showing the list of users if the user is of type group, please show members of that group on hover type of message. This can be extended to all places where we show user list if we are doing common component.",P0,In progress,"Krupa Panchal,Tejaswini Allagadda","UI,BE","tried in offer detail task creation, couldnt see any such hover text","Sales,Purchasing","May 21, 2026",Sai Nagboth,"Mar 25, 2026",false
General,Sourcing Analysis,"Allow to email by hovering over an account in the sourcing screen, specially important for API pulled ones.

Canny Item



This would be essentially requesting an offer for a Vendor. I am thinking this can be done from offer info pane? or should it be done from account?

",,To be Defined,Dipak Majhi,,,Purchasing,,Phani Yedidi,"Mar 26, 2026",
General,Offers,"There are a few data carry forward issues (high priority) reported by QE team:

 

Record an Offer

ExpiresOn - Not carried forward from RFQ❌

Country of Origin - Not carried forward from Request offer❌",P0,Ready for Test,"Tejaswini Allagadda,Alexey Duduk,Vinay Bajjuri,Shivananda Sai",BE,,Purchasing,"May 21, 2026",Sai Nagboth,"Mar 26, 2026",false
General,"Part attributes sync (RFQ, SO and PO, Stock)","Can we ask xCRM to consider matching these values based on what is sent from Apex? If a match not found they create a new one based on the text?

1. MFG
2. Package
3. ROHS
4. Product



SR, PO and Stock needs to be done.",P0,In progress,Nikhil Kumar Singh,Sync,"[Pranab 04/05] - Done for RFQ, SO.",Purchasing,"May 22, 2026",Sai Nagboth,"Apr 1, 2026",false
Shipments - Lists,Inbound Shipments,"Need an ability to extend current shipments to capture inbound as well. Have written this up in Clickup ticket -CHP-5580

",P0,On Production,Sheikh Habib,BE,,Purchasing,,Sai Nagboth,"Mar 28, 2026",false
Shipments - Lists,,,,,,,,Purchasing,,Phani Yedidi,"Apr 22, 2026",false
Offers,Offer Matching,Implement offer matching as defined in CHP-5487,P1,On Production,Andrey Kuznetcov,BE,BE is ready. UI integration is needed.,Purchasing,,Sai Nagboth,"Mar 3, 2026",false
