Section,Category,Item_Description,Status_Value,Owner,Links
Metadata,Release Info,Environment,Stage,,
Metadata,Release Info,Status,Good,,
Metadata,Release Info,Prod release owner,"@Umamahesh ,  @Harika Guntamukkala",,
Metadata,Release Info,Release date,2026.04.09,,
Metadata,Release Info,Branch,release/2026.04.02,,
Metadata,Release Info,DB changes,Connect : release/2026.04.09,,
Metadata,Release Info,Platform,release/2026.04.09,,
Metadata,Release Info,Notification, No change,,
Artefacts,Artefacts,Chip1 Transaction,2026.04.09.3,,
Artefacts,Artefacts,Chip1 CRM WebUI,2026.04.09.3,,
Artefacts,Artefacts,fn-connect,2026.04.09.6,,
Artefacts,Artefacts,9th April,"@Harika Guntamukkala Task sync added new attribute ""priority"", only Outbound  - Verified RFQ feedback - 07.04.2026 ( ) Many users use enter to input a field and then go to the next one. Can we allow that behaviour as well - We can push back if you guys have objections Currently we are using enter to submit the modal. People here are not used to this. We have to think whether to keep it or remove. For dates - can we use enter to default to current date ? 10 ) Can we do changes to the create quote for multiple RFQs ? - We need to allow editing of quantity, add currency and package field here",,
Artefacts,Artefacts,Teams #,"April08_01: Add truncated and clickable MPN list with tooltip in OrderOverview ( ) - Verified Added truncated MPN (Manufacturer Part Number) lists to the OrderOverview component, ensuring cleaner and more readable displays when part lists are long. Integrated an overflow tooltip to allow users to view the full MPN when hovering over truncated entries. Enabled clickable MPN links for unique parts within the OrderOverview component, improving accessibility and navigation.",,
Artefacts,Artefacts,feat(rfq),make quote datecode fields mandatory when quantity is entered ( ) - Verified Updated the RFQ validation schema to ensure that Date Code Year and Date Code Week are mandatory within the Quote Details section whenever a quantity is specified. - Verified,,
Artefacts,Artefacts,feat,"add hideDefaultCountry prop to phone input components across CRM forms and modals ( ) - Verified Don't show default ""+1"" country code in phone fields in CRM - Om Sreenivasan - Verified",,
Artefacts,Artefacts,fix(crm),ensured fundCode is sent as an object for new sales order lines ( ) - Verified,,
Artefacts,Artefacts,Problem,"When adding a new part to a Sales Order via the ""Add Another Part"" button, the fundCode was being initialized with a raw string (e.g., 'USD') instead of a LookupDto object. This was caused by a fallback to the regional default currency string in useAccountFieldsSync",,
Artefacts,Artefacts,. This led to a backend JSON parse error because the API requires a lookup object. - Solution,"Refactored accountCurrency in useAccountFieldsSync.ts to ensure it always returns a lookup object ({ key, value }) . If accountDetails.fundCode is missing, it now correctly ""boxes"" the default currency string from useSuspenseRegionCurrencyGetter",,
Artefacts,Artefacts,into the expected lookup format. - This pull request introduces various improvements and fixes across the application,"- Deploying UI to stage: 8 April Click a non-task notification (SO, Quote, RFQ, Offer) → correct entity info modal opens -  @Harika Guntamukkala - Seen entity info modal for offer and sourcing request not for So,Quote,RFQ [item 24] Guard new-line creation on approved SOs — ""Add Line"" now shows a confirmation dialog when the SO has active approvals, warning that they may be reset -  @Harika Guntamukkala - Verified [item 26] Part numbers on SO overview card — aggregates MPNs from all order lines and displays them in the order ID card header -  @Harika Guntamukkala - Verified [item 27] Notification click routing — clicks now open the correct entity info modal ( order.showInfo , quote.showInfo , rfq.showInfo , offer.showInfo ) based on entityType , instead of always opening task.showInfo -  @Harika Guntamukkala - Verified Wrapped <CreateOrderLineForm> in a <Suspense> boundary with a CreateOrderLineFormSkeleton fallback -  @Harika Guntamukkala - Verified @Umamahesh Stock duplicate issue fix - this is happening once Stock created, and received update couple of times. - Verified",,
Artefacts,Artefacts,fixes,PO issues ( ) Populate sender country based on supplier country.- Verified Add supplier country into the supplier information section if it is not currently shown.- Verified Add sourcing request and offer references into PO line details so the connection is clear.- Verified Make the main PO identifier the meaningful clickable link.- Verified,,
Artefacts,Artefacts,fixes,PO and Warehouse Quality Tab issues ( ),,
Artefacts,Artefacts,Create PO,Prepopulate package from supplier package in the part- Not working,,
Artefacts,Artefacts,Warehouse > Stock / Receiving Lines > Quality Tab,Move stock column before mpn column and add navigation link to stock and mpn columns- stock column is not clickable hyperlink,,
Artefacts,Artefacts,PO Line info pane,move xcrm link into next row below the part link- Verified,,
Artefacts,Artefacts,feat,"enforce mandatory CPN, improve SO creation defaults, and fix required indicator logic ( )",,
Artefacts,Artefacts,Mandatory CPN,Enforced cpn (Customer Part Number) as a required field across all Sales Order and Order Line validation schemas and UI forms.- Verified,,
Artefacts,Artefacts,Smart Defaults,"Implemented logic to automatically pre-populate partConditionAcceptedBySales (defaults to ""New"") and warrantyAcceptedBySales when creating Sales Orders from Quotes, reducing manual data entry.- Verified",,
Artefacts,Artefacts,DatePicker UX,Enhanced the DatePickerField by adding a clickable calendar icon toggle for improved accessibility and visibility.- Verified,,
Artefacts,Artefacts,QC Level Refactor,"Removed qcLevel from the Sales Order creation payload and forms, centralizing its management in the Order Line Details interface. - Verified Remove Lead time field from SO (Order Line Details)- Verified",,
Artefacts,Artefacts,feat,"update ReconfirmExcessTaskModal ( )  - Verified MFG is not auto populating correctly - MFG is picking up some other value Target Price, Date Code Week, Date Code Year should NOT be mandatory Lead Time should default to 'ASAP' - User can select other option if they need other than ASAP For 'Due Date' - exclude weekends (make it next day - 24 hours on a working day) 'Labels' has been made mandatory but the red astrix is not there. Add one more value under Labels - ""No Restriction"" - This should be default PO & PO Line cancel flow ( ) - Verified",,
Artefacts,Artefacts,fix,"clean up account labels, prevent accidental value changes in NumberField, set default quote expiration and update week and date formatting order ( ) - dev only",,
Artefacts,Artefacts,NumberField UX Improvement,Updated the NumberField component to prevent mouse wheel events from modifying values while the field is focused. This prevents accidental value changes when users are simply scrolling the page.,,
Artefacts,Artefacts,Localization Audit,"Simplified labels in the Account module ( account.json ) by removing redundant ""Has"" prefixes for several fields (NDA, Quality Agreement, Consignment, and Credit Insurance), creating a cleaner and more professional look.",,
Artefacts,Artefacts,feat,set default quote expiration to 14 days,,
Artefacts,Artefacts,refactor,"update week and date formatting order Send PO email replace simple text with rich text field ( ) - Verified text  at last please reach out to — at —. isn't clear some dashes at closing note (chip1 signature) On PO line details we need the tab for part details to show global part details, similar to what we do for SO and other entities. Sandeep need to add ""part-details"" tabs permission from the backend.- Verified Need to expand Send email to a wider modal similar to that of share and include following - Verified Subject line CC line - they can add a set of emails. Option to attach PDF @Deepti Vaidyula Account validations for not triggering account already approved - to fix bug mentioned here - Verified Lead time added ASAP lookup - Verified Sales Documents enhancements ( if any gaps found can be fixed, should not be a blocker unless doc is broken)- Verified",,
Artefacts,Artefacts,Testing," SO detail → billing section has no ""Invoice Delivery Mode""; invoice text field still present - ""Invoice Delivery Mode"" not present SO with existing approvals → ""Add Line"" shows warning dialog before opening the form - Verified SO with multiple lines → overview card shows all part MPNs - Verified Click a non-task notification (SO, Quote, RFQ, Offer) → correct entity info modal opens Add Line on any SO → skeleton shows briefly before form renders - Verified",,
