"Task Type","Task ID","Task Custom ID","Task Name","Status","Task Content","Assignee","Priority","Latest Comment","Comment Count","Assigned Comment Count","Due Date","Start Date","Date Created","Date Updated","Date Closed","Date Done","Created By","Space","Folder","List","Subtask ID's","Subtask URL's","tags","Lists","Sprints","Linked Tasks","Linked Docs","Time Logged","Time Logged Rolled Up","Time Estimate","Time Estimate Rolled Up","Time In Status","Points Estimate","Points Estimate Rolled Up","Allocation (drop down)","Browser (drop down)","Browser version (short text)","Capability (list relationship)","Capability (drop down)","Component (drop down)","Component (drop down)","Date (date)","Defect Type (drop down)","Due Date (date)","Environment (drop down)","External ticket ID (short text)","Hierarchy 1 (drop down)","OS (drop down)","Points (drop down)","Primary Feature (tasks)","Progress (manual progress)","Project (drop down)","Qualitative Priority (drop down)","RCA (text)","Related Components Impacted (short text)","Reporter (users)","START DATE (date)","Severity (drop down)","Story Type (drop down)","Target (drop down)","TestCase ID (text)","Type (drop down)","Type (drop down)","Type Of Test Performed (drop down)"
"Feature","86b6k7e3f","CHP-2950","Sourcing Request management","on prod env","Summary
As a developer, I would like to develop a feature in the new CRM that would enable a user to create a Purchase Request. A sales team member creates a Purchase Request to initiate the procurement process. Each Purchase Request represents a single part, i.e., a request line item. Multiple purchase requests should be created for multi-part requests.
Acceptance Criteria
After completion of the task, a user should be able to create a purchase order for a part in the new CRM
Architecture Guidance
Functional use cases - here
Functional Tasks 
Sourcing Request - Create Sourcing request from Sales Request (https://app.clickup.com/t/8651091/CHP-2913)
Sourcing Request - Details Overview (https://app.clickup.com/t/8651091/CHP-2914)
Sourcing Request - Connect new sales request with an Existing Sourcing Request (https://app.clickup.com/t/8651091/CHP-2916)
Sourcing Request - Create a task to indicate a Sourcing request is assigned to a Buyer (https://app.clickup.com/t/8651091/CHP-2924)
Datamodel -   
Figma design - here
A new set of APIs should be developed in the chip1-transaction service as follows 



Use case
Endpoint
Comments
Purchase Request creation
[POST] /purchase-request
Create a purchase request from a RFQ line item. The line details should be copied in the purchase request
A task shall be created automatically once the purchase request is created. Here is the task API Sourcing Request - Create a task to indicate a Sourcing request is assigned to a Buyer (https://app.clickup.com/t/8651091/CHP-2924)
The data should be saved in the MongoDB and indexed in the OpenSearch.
Figma Designs - design1, design2
Purchase Request update
[PATCH] /purchase-request/{id}
Link a RFQ line item with an existing purchase request
Editing an existing purchase request
The update should be reflected in the OpenSearch too.
Figma design - here
Purchase Request list view
[GET] /puchase-request/
Get a list of purchase request
Filter by rfq id & rfq line id
Figma design - here
Purchase Request get by ID
[GET] /puchase-request/{id}
Get purchase request details by ID
HERO section details
Figma design - here
RFQ List view
[GET] /rfq
RFQ filter by purchase request
Entity Events
The following events should be generated during create/update operations - 
Timeline event
It helps to keep track of the audit details of the entity. The event shall be raised using the chip1-common library.
Trigger point - Create & Update of an entity
Databits event
It keeps track of the entity count in different contexts, i.e., accounts, contacts, parts. The event shall be raised using the chip1-common library.
Trigger point - Creation of an entity
Part-activity event
This event keeps track of the activity of parts.
Trigger point - Creation of an entity
 

Connect Service changes
The Sourcing Request data sync shall not happen with the xCRM app. We will evaluate it later.
Notes: The purchase request sync shall happen after the sales order is created. But we need more details about the xCRM behaviour.
API Guidance





","[Aditya Jain]","none","",0,0,"","","Monday, September 8th 2025, 3:48:34 pm +05:30","Monday, January 19th 2026, 3:34:03 pm +05:30","","Thursday, December 25th 2025, 9:42:14 pm +05:30","Pranab Dutta","Chip1","Feature and Story Backlogs","Feature Backlog","[]","[]","[backend]","[Feature Backlog, Sprint 40 (12/23 - 1/5)]","[Sprint 40 (12/23 - 1/5)]","","","","","","","3544 hours",,0,"","","","","","","","","","","","","","","","",0,"","","","","","","","","","","","",""
"Feature","86b59apmb","CHP-2202","Request/Request Line details Edit Flow","in test process","Acceptance Criteria
 Navigation & Entry Point
From the Left Navigation, under Sales, select Requests.
This opens a two-tabbed view:
Requests tab
Request Lines tab
Requests Tab Overview
Each Request is a consolidated record that groups multiple Request Lines.
The hero section at the top summarizes key details:
Total # of Parts
Total # of Units 
Total Targeted Price
Total Value
Status Summary: Aggregate of the statuses from all request lines.
Part Risk Score: Based on part-level health indicators.
Accordion Sections (Editable in Request):
Account, Contacts & Account Owner
Shipping Information
IDs
Tags
Note: These same accordions appear in each request line as well.
Editing a field at the Request level will sync that value to all associated Request Lines.
Request Lines Tab Overview
The Request Line captures detailed part-level requirements.
Every accordion from the Request tab is present, plus additional accordions/fields.
Accordions:
Account, Contacts, and Account Owner
Shows associated Account
Allows manual addition of a Contact
Option to assign additional users with roles like:
Buyer
BDR
Manager
Secondary Sales
All changes here are saved at the line level.
Opportunity & Requirement
Fields include:
Requirement Type, Requirement Level, Requirement Source
Notes
Mfr Part # (MPN), Manufacturer, Description, Internal Part #
Quantity Requested, Need By Date
Target Price, Min/Max Qty
Optional Part Information
Date Code (Year/Week)
Packaging
ECCN US / Europe, HTSUSA.
Point 15 in RFQ, Quotes.docx mentions the additional HTSUSA field and the change to ECCN Europe. 
Optional Account Preferences
Preferences like:
Black Labels
Partial Reels/Tubes
Missing Manufacturer Labels
Warranty Accepted by Sales
Part Condition Accepted by Sales
Shipping Information
Delivery Location
Full Address
Incoterms, Incoterm City
Ship Via
Option: ""Ship all part numbers together?"" toggle
Pricing
Currency, Target Price, Market Price, Regular Buying Price
Unit Type
Requested/Specified Alternatives
Add alternative MPNs with Manufacturer & Description
IDs
Add Customer RFQ ID 
Tags
Add relevant custom tags per line

Refer to the attached design for the exact field names and the UI layout. 
We will also revisit the mandatory fields based on Connect/xCRM mappings. 

Designs
 

","[Deepti Vaidyula, Abhinay Sharma]","none","",0,0,"","","Monday, June 9th 2025, 11:01:25 am +05:30","Monday, October 6th 2025, 11:45:30 am +05:30","","","Om Sreenivasan","Chip1","Feature and Story Backlogs","Feature Backlog","[]","[]","[ui]","[Feature Backlog]","[]","Make Account and Contact fields read-only for Requests, Request Lines, Quotes, and Orders: https://app.clickup.com/t/86b70k2r3)
Request Status Mismatch Between xCRM and New CRM: https://app.clickup.com/t/86b700qpz)
QE Validations for Request/Request Line details Edit Flow: https://app.clickup.com/t/86b6z1w6j)
QE Release validations for 21Aug25: https://app.clickup.com/t/86b5xq9k0)","","","","","","5474 hours",,0,"","","","","","","","","","","","","","","","",0,"","","","","","","","","","","Functional","",""
"Feature","86b63qfzh","CHP-2704","Requests List View","in test process","Summary
The Requests list view provides a split-view structure to organize multipart and individual RFQs. By default, the Request Lines are selected.  
1. Requests View (Multipart RFQs)
Displays parent-level RFQ grouped as Requests (e.g., US25RQ-12345).
Each Request aggregates:
Number of lines
Total quantity requested
Cumulative request value
Sorting and filtering occur at the request level (yet to be implemented)
Filters include 
Account
Status
Last Updated (will confirm if this can be supported)
Statuses are visually indicated via color-coded progress bars.
Users can expand/collapse requests to inspect individual request lines.
Micro-dashboards summarize status counts across the system 
Offers Requested / Received
Quotes Created / Sent / Accepted / Rejected
Archived
2. Request Lines View (Individual RFQs)
Displays each Request Line independently (e.g., US25SO-67890.01).
Shows part-specific data like:
Mfr Part # and Manufacturer
Quantity Ordered
Request Value
Status with corresponding color bars
Last updated timestamp and user

Design - Refer to the prototype link for a complete understanding. 

Prototype 
https://www.figma.com/proto/v5c0jzDP5riw5RFBNzIyqe/Chip-1-Designs?page-id=30778%3A17659&node-id=31009-64228&p=f&viewport=3221%2C1203%2C0.13&t=Zxe3XavCgdDWRGe9-1&scaling=min-zoom&content-scaling=fixed&starting-point-node-id=31009%3A64228
Screens
1) Requests - https://www.figma.com/design/v5c0jzDP5riw5RFBNzIyqe/Chip-1-Designs?node-id=31641-165385&t=PrHW7oif1LeLX6KY-0
2) Requests Lines - https://www.figma.com/design/v5c0jzDP5riw5RFBNzIyqe/Chip-1-Designs?node-id=31641-165449&t=PrHW7oif1LeLX6KY-0 
","[Abhinay Sharma]","none","",0,0,"","","Wednesday, August 6th 2025, 4:11:00 pm +05:30","Monday, October 6th 2025, 11:45:30 am +05:30","","","Om Sreenivasan","Chip1","Feature and Story Backlogs","Feature Backlog","[]","[]","","[Feature Backlog]","[]","LastUpdated Date Missing in Request List View: https://app.clickup.com/t/86b6x87ra)
“Last Updated” filter in Request Lines list view is not working: https://app.clickup.com/t/86b715dcq)
""Last Updated"" Filter Not Working in Request Lines View: https://app.clickup.com/t/86b6x8810)","","","","","","5474 hours",,0,"","","","","","","","","","","","","","","","",0,"","","","","","","","","","","Functional","",""
"Feature","86b6bv9q4","CHP-2828","Create a Request","in test process","Summary
The Create a Request module enables users to generate Single/multiple RFQ items by adding request lines either manually or via file upload. The user journey consists of selecting a customer, entering request line details, and optionally triggering quote creation alongside the request.
Step 1: Account & Contact Selection
Select the Customer Account and associated Contact (mandatory fields)
Contact info (country, phone, email) is auto-populated
Step 2A: Add Lines Manually
Mandatory Fields:
Manufacturer Part Number (MPN)
Quantity
Optional Fields:
Targeted Cost per Unit, Targeted Total Cost, Need By Date
Packaging Type, Lead Time*, Date Code (Year/Week), QC Level
If MPN does not exist in SE, the user should be allowed to create a part/enter an MPN manually
Additional Quote Details (optional):
Cost per Unit, Total Cost, Estimated Freight, Miscellaneous Cost, Expiry Date
If cost per unit is entered, both Request and Quote will be created via backend APIs in the same transaction
Users can:
Add multiple request lines
Duplicate existing lines
Remove individual lines
Step 2B: Upload a File
Drag & drop or browse to upload a CSV or Excel file of request lines
Once uploaded:
System prompts user to validate file columns to project headers (e.g., MPN → Mfr Part #, QTY → Quantity)
Note - We need to reuse the auto-mapping logic, support the same format, and support the max size validation that exists currently for BoM.
User confirms mappings and continues
Step 3: Submit
Upon clicking Create, system triggers appropriate APIs to generate the Request (and optionally Quote)
Redirects user to the Request Details View 

Excel File - 
 
Design

 
","[Abhinay Sharma]","none","@Om Sreenivasan  Is CSV/Excell supposed to be in the same format as for BoM upload?  ",1,0,"","","Thursday, August 21st 2025, 1:00:09 pm +05:30","Monday, October 6th 2025, 11:45:30 am +05:30","","","Om Sreenivasan","Chip1","Feature and Story Backlogs","Feature Backlog","[]","[]","","[Feature Backlog]","[]","Targeted Price and Total Value Not Displayed for RFQs Created from xCRM: https://app.clickup.com/t/86b6tx3mx)
Account Owner Field Not Updating After Edit: https://app.clickup.com/t/86b6uytt2)
Able to create rfq without part info via api (curl command): https://app.clickup.com/t/86b6h7vgr)
Account and Contact Details Not Populated Post LA Transfer for Previously Raised RFQs and new RFQs: https://app.clickup.com/t/86b6tb8yt)
Add Underline to 'Update Status' Link for Consistency: https://app.clickup.com/t/86b6rqde3)
Inconsistent Sorting Order for ""Date Code Week"" Field Between Request Form and xCRM: https://app.clickup.com/t/86b6wqec7)
RFQ Timeline Logs Show ""Updated By"" User Under ""Created By"" Column: https://app.clickup.com/t/86b6rpqkc)
Primary Contact Missing in Lead Account: https://app.clickup.com/t/86b6tjqf2)
Missing 'X' Button in Create Request Form: https://app.clickup.com/t/86b6uyk8h)
RFQs Raised Before LA Transfer Retain MongoID Instead of RequirementID: https://app.clickup.com/t/86b6tc8wd)
RFQ Search Issues with Mongo_ID and Internal IDs: https://app.clickup.com/t/86b6rp5uz)
LastUpdated Date Missing in Request List View: https://app.clickup.com/t/86b6x87ra)
Newly Added Alternatives Not Displayed in Request Line Details After Saving: https://app.clickup.com/t/86b6tc682)
Missing boundary validations for pricing fields in ""Create Request"" form: https://app.clickup.com/t/86b6w7k61)
'Update Status' in Request Line Details Not Updating Line-Level Chevron: https://app.clickup.com/t/86b6rqa27)
RFQs integration issues: https://app.clickup.com/t/86b6td2x4)
(Enhancement) Missing Requirement ID on RFQ Creation – No Retry to Sync from xCRM: https://app.clickup.com/t/86b6ty2fb)
MPN Search Glitch in ""Create Request"" Form: https://app.clickup.com/t/86b6z1pj3)
Request Status Mismatch Between xCRM and New CRM: https://app.clickup.com/t/86b700qpz)
Part Risk Not Updated in Requests → Hero → Part Risks Section: https://app.clickup.com/t/86b6rv3u7)
Contact Name Gets Cleared on Update in Request Details: https://app.clickup.com/t/86b6uyt8b)
Timeline Details Missing for RFQs Created from xCRM: https://app.clickup.com/t/86b6tx4yz)
Auto-RFQs from Bom and RFQs raised by Invited Users Before LA Transfer Not Displayed in xCRM Opportunities: https://app.clickup.com/t/86b6tj6rg)
Hover Not Working on Truncated input Fields with long string in RFQ Details Page: https://app.clickup.com/t/86b688c1v)
Field name update: ""Ship All Part Numbers Together?"" Should Be Renamed to ""Ship All Part Together?"" for Better Understanding: https://app.clickup.com/t/86b6uyr9p)
""Need By"" date in Create Request form allows backdating: https://app.clickup.com/t/86b6w7qvh)
Pre-Transfer RFQs Not Counted in Account Engagement & Micro-Dashboard Post-LA Transfer: https://app.clickup.com/t/86b6tcrmx)
Requests, Quotes, and Orders created are not logged under Contacts → Requests / Quotes / Orders tabs in new CRM: https://app.clickup.com/t/86b715ae2)
RFQ Deeplinking Missing in Global Search Quick View: https://app.clickup.com/t/86b6z25cu)
RFQ Events Missing in “All Events” Timeline: https://app.clickup.com/t/86b6rpt5k)
RFQ creation fails for contacts added to split accounts (NullPointerException on accountUserDtos): https://app.clickup.com/t/86b6v09wv)
QE validations for  ""Create a Request"": https://app.clickup.com/t/86b6w6ugy)
RFQ details enhancements - Initial observations: https://app.clickup.com/t/86b6jdbq2)
""Last Updated"" Filter Not Working in Request Lines View: https://app.clickup.com/t/86b6x8810)
Requests Created via BOM File Upload Not Reflected in Account Summary: https://app.clickup.com/t/86b70509q)
Total Quote Cost Excludes Added Costs (Estimated Freight & Miscellaneous): https://app.clickup.com/t/86b6rufuv)
Request Timeline → Details Section Missing Values for Non-xCRM Sources: https://app.clickup.com/t/86b6ruecw)
Missing CRM & MC1 Users in Created By Filter List (RFQ-Timeline): https://app.clickup.com/t/86b6rpu1t)
Handle Edit for RFQs created by unlinked user: https://app.clickup.com/t/86b6rpctm)
Quote Creation and Update Activities Missing in Requests → Timeline: https://app.clickup.com/t/86b6rurej)
Approved Alternatives Description Missing in CRM: https://app.clickup.com/t/86b6ty6fk)
Cost related fields in 'Create Request' form accepts negative numbers: https://app.clickup.com/t/86b6w7kgy)
RFQ details updated in new crm are not reflecting in XCRM: https://app.clickup.com/t/86b5yn9mx)
Status Summary Not Updated in Request Details After LA Transfer for Pre-Transfer RFQs: https://app.clickup.com/t/86b6tcnum)
Lead Time list options are not sorted correctly in ""Create Quote"" form: https://app.clickup.com/t/86b6w7evc)
Inconsistent Sorting Order for ""Date Code Year"" Field Between Request Form and xCRM: https://app.clickup.com/t/86b6z4fpc)
User Addition Fails with ""Failed to Update RFQ"" Error: https://app.clickup.com/t/86b6uyum5)
Pagination Issue in Requests Detail View After File Upload: https://app.clickup.com/t/86b6x9dw7)
SO Creation from Quotes Fails Due to Invalid Map Key: https://app.clickup.com/t/86b6z273t)
Internal Part Number is not displayed in the UI: https://app.clickup.com/t/86b6rpevw)
Missing and Incorrect Field Sync for RFQs Created from xCRM: https://app.clickup.com/t/86b6tx96z)
Status Summary Chevron Mismatch Between RFQ Details and RFQ Line Details: https://app.clickup.com/t/86b6rq3qy)
Shipping Information Form Allows Save Without ""Delivering To"" Field in Request details page: https://app.clickup.com/t/86b6uyp2z)
RFQ Quantity and Request Value Not Displayed in CRM UI After LA Transfer: https://app.clickup.com/t/86b6tcder)
Status Summary Chevron Reads ""Offers Received"" but Header Says ""Offers Requested"": https://app.clickup.com/t/86b6rq7t2)","","","","","","5474 hours",,0,"","","","","","","","","","","","","","","","",0,"","","","","","","","","","","Functional","",""
"Feature","86b6jbe67","CHP-2917","Sourcing Request - Lifecycle","in test process","As a System Administrator
I want to track sourcing request status changes automatically
So that workflow progress is accurately reflected

Acceptance Criteria:
Automatic status updates based on workflow events: 
""Open"" → ""Offers Requested"" when first offer requested
""Offers Requested"" → ""Offers Received"" when first offer recorded
""Offers Received"" → ""Recommendation Ready"" when offer recommended (recommended - not shown on the chevrons on the hero)
""Recommendation Ready"" → ""Approval Requested"" when submitted for approval
""Approval Requested"" → ""Approved"" when approved
""Approval Requested"" → ""Rejected"" when rejected
""Approved"" → ""PO Created"" when purchase order generated
""PO Created"" → ""Closed"" when PO confirmed/delivered
 Log all status changes in activity timeline
 Status history maintained for audit
 Cannot manually change status (workflow-driven only)
Show the status on hero card in the form of chevrons as shown on the design with all the aggregation at each step for various offers together from the offers table
As well show the most forward status highlighted above the chevrons. 

Status Flow:
Open → Offers Requested → Offers Received → 
Approval Requested → Approved → PO Created → Closed

Design guidance : 
 
","[Umamahesh]","none","",0,0,"","","Friday, September 5th 2025, 9:14:55 am +05:30","Wednesday, November 12th 2025, 4:01:21 pm +05:30","","","Phani Yedidi","Chip1","Feature and Story Backlogs","Feature Backlog","[]","[]","[purchasing]","[Feature Backlog]","[]","","","","","","","4582 hours",,0,"","","","[86b6javnz]","","","","","","","","","","","","",0,"","","","","","","","","","","","",""
"Feature","86b6jchgu","CHP-2924","Sourcing Request - Create a task to indicate a Sourcing request is assigned to a Buyer","in test process","Summary:
As a salesperson or manager, I want a Task to be created for the Buying Agent when a Purchase Request is created by checking the ""create a task"" option so that the sourcing activity is formally tracked and deadlines are not missed.

Acceptance Criteria:
When a user creates a Purchase Request and opts to create a task, the system creates a task to that buying agent and indicates that a purchase request has been created 
The new Task must be assigned to the Buying Agent selected in the PR modal.
The Task's content should include the Purchase Request ID and the Part Number.
The Task's due date should be set to the ""Offer Needed by"" date from the Purchase Request.

Design Guidance : 
 

","[Umamahesh]","none","please suggest how to handle when source request connection scenario   also, for a task, what would be default priority and action assigned to it  ",1,0,"","","Friday, September 5th 2025, 11:54:08 am +05:30","Wednesday, November 12th 2025, 9:10:18 pm +05:30","","","Phani Yedidi","Chip1","Feature and Story Backlogs","Feature Backlog","[]","[]","[purchasing]","[Feature Backlog]","[]","","","","","","","4582 hours",,0,"","","","[86b6javnz]","","","","","","","","","","","","",0,"","","","","","","","","","","","",""
"Feature","86b6q9m8c","CHP-3052","Offers - Display open offers table on Purchase requests","in test process","Summary : 
As a purchaser
I want to view all offers in a comprehensive table format within the offers tab
So that I can compare supplier responses and manage the sourcing process

Acceptance criterion : 
Display ""Offers"" tab with comprehensive table layout showing all offers
 Show table columns: Offer ID | Date Created, Supplier | Location, Mfr Part # | Manufacturer, Lead Time | Date code, Requested Quantity vs Offered, Unit Price, Expires, Status
 Include offer summary footer: ""X Offer(s) Requested • Y Received • Z Pending Response""
 Show ""No offers responses recorded yet"" message when table is empty
 Support column sorting by clicking any header
 Display three-dot action menu for each offer row
The three dot action menu should contain the following actions - Edit offer, recommend offer, unrecommend offer, request for purchasing, reject for purchase and delete offer 
 Support bulk selection with checkboxes to only support delete offer records for now 

Design guidance : 
https://www.figma.com/design/v5c0jzDP5riw5RFBNzIyqe/Chip-1-Designs?node-id=34820-80362&t=Ia0vGELGkbvH9F7l-0 


","[Umamahesh]","none","",0,0,"","","Tuesday, September 16th 2025, 11:41:38 am +05:30","Wednesday, November 12th 2025, 9:17:00 pm +05:30","","","Phani Yedidi","Chip1","Feature and Story Backlogs","Feature Backlog","[]","[]","[purchasing]","[Feature Backlog]","[]","","","","","","","4582 hours",,0,"","","","[86b6javnz]","","","","","","","","","","","","",0,"","","","","","","","","","","","",""
"Feature","86b6q9mdr","CHP-3057","Offers - Approval through Request for Purchasing","in test process","Summary 
As a Purchasing Agent
I want to request an offer for purchase
So that it can be reviewed and approved before creation of a PO

Notes : 
REQUEST FOR PURCHASE = Formal approval workflow
ONLY this action triggers the approval workflow
Requires justification and routing to approver
Formal submission for PO creation authorisation
PO creation requires this formal approval

Acceptance Criteria:
 ""Request for Purchase"" action available for offers with status ""Received"" and ""Recommended""
Request Modal (as per design):
Approver dropdown 
Date picker (e.g., ""Nov 12, 2025"")
Notes text area
""Cancel"" and ""Send"" buttons
After Submission:
Status: ""Requested for Purchase"" (orange badge)
Green button appears: ""Request for Purchasing Sent""
Lock offer (cannot edit)
Timeline entry: ""Submitted for approval to [Approver]""
Notify approver (Covered in notifications flow)

Design guidance : 
 
 
","[Umamahesh]","none","",0,0,"","","Tuesday, September 16th 2025, 11:44:42 am +05:30","Wednesday, November 12th 2025, 9:31:14 pm +05:30","","","Phani Yedidi","Chip1","Feature and Story Backlogs","Feature Backlog","[]","[]","[purchasing]","[Feature Backlog]","[]","","","","","","","4582 hours",,0,"","","","[86b6javnz]","","","","","","","","","","","","",0,"","","","","","","","","","","","",""
"Feature","86b6q9mez","CHP-3058","Offers - Approval/Rejection workflow","in test process","Summary 
As a Purchasing Manager
I want to approve a purchase request
So that purchasing can proceed with PO creation

Acceptance Criteria:
 Receive notification: ""Offer from [Supplier] requested for purchase by [Agent]""
 Access to complete request details: 
 Offer details (supplier, pricing, quantity, lead time, terms)
 Purchase justification from agent on various checklists needed.
 Comparison to other offers received
 Part specifications
 Attached documents
 Linked sales requests and customer requirements
 ""Approve"" action available
 Automatically create Purchase Order upon approval
 System updates offer status to ""Approved for purchase""
 Update Open Offers table: show ""Approved for purchase"" status
 Update Sourcing Request status to ""Approved for purchase""
should result in creation of a purchase order automatically 

Reject Offer
As a Purchasing Manager
I want to reject purchase request
So that inappropriate purchases are prevented
Acceptance Criteria:
Rejection Action:
Click ""Reject Offer for Purchase"" from actions menu
Rejection modal opens
Required Fields:
Rejection reason (dropdown)
Detailed feedback (text area, required)
Recommendations (text area, optional)
""Cancel"" and ""Reject"" buttons
After Rejection:
Status: ""Rejected for Purchase"" (red X icon)
Unlock offer for editing
Unlock other offers


Covered in notifications flow : (future)
 Send notification to purchasing agent: ""Your purchase request for [Supplier] offer has been approved""

Design guidance : 
 
 

","[Umamahesh]","none","",0,0,"","","Tuesday, September 16th 2025, 11:45:16 am +05:30","Wednesday, November 12th 2025, 9:32:34 pm +05:30","","","Phani Yedidi","Chip1","Feature and Story Backlogs","Feature Backlog","[]","[]","[purchasing]","[Feature Backlog]","[]","","","","","","","4582 hours",,0,"","","","[86b6javnz]","","","","","","","","","","","","",0,"","","","","","","","","","","","",""
"Feature","86b73gzh6","CHP-3320","Notification enhancement","ready for test","Summary
As a developer, I would like to enhance the Notification Service capability in the chip1 app to accommodate several new capabilities, as explained in the following section.
Acceptance Criteria
After completion of the task, the following features should be implemented - 
The new CRM app should be capable of triggering notifications on various events
The list of events shall be defined later
Notification Center
Should support notification read/unread
Notification Banner - Browser Push notification
Real-time notification centre update through WebSocket
Notification preferences
Architecture Guidance
fn-notifications repo
https://github.com/altirllc/fn-notification-liquibase
https://github.com/altirllc/fn-notification-publisher
https://github.com/altirllc/fn-notification-dispatcher
https://github.com/altirllc/fn-notification-common-service
https://github.com/altirllc/fn-notification-api-hub
Architecture Doc - here
Notifications Kafka topic - doc
fn-notifications Overview - recording
API Hub - here (requires altir VPN)
Figma design - herech

Scope of Changes
User Onboarding
The fn-notifications is a multi-tenant service. It is managing its own tenants and users. The Chip1 tenant is currently configured, and several functionalities are linked to it. Now, we also need to onboard the new crm users in the Chip1 tenant.
Steps
1. The bulk user onboarding API can be used.
2. The notification user ID should be saved in the crm_users collection.
Notification Center
The notification center stores all the notifications generated by the app. It helps users to revisit the notifications and take necessary actions.
Figma - side pane, list view
 
 
Steps
1. The essential capability is already developed. Let's review the APIs
2. The API should support message read/unread
Notification Banner
This is the Browser push notification capability. The basic configuration is ready.
 
Steps
1. Let's verify the existing configuration.
Real-time update of Notification Center
When the notification is generated, it should appear in the notification list view in case the application is open. A websocket implementation should take care of it. This will prevent the screen from refreshing to fetch new notifications when the app is opened.
Enahancement
1. Need to add context information of the entity. It will help the app to fetch the entity details based on the context details, i.e., context_type, context_id.
 
Steps
1. Let's configure the websocket in the API GW, 
2. The backend shall push the newly created notification to the web app through the websocket.
Notification preferences
Users can select their preferred notification channels. The essential implementation is already in place.
Steps
1. Let's review the APIs and test.
Notification Trigger events
The chip1 services should trigger the notification events. More details shall be added later.   FYI.
 

API Guidance
","[Nikhil Kumar Singh, Sergey Us]","none","@Sergey Us  For the  chip1-lambda-authorizer   repository, we need to configure it within the  chip1 infrastructure  for the  AWS   WebSocket  implementation.     You can refer to the  hyperfuel ( hf-lambda-authorizer )  configuration as a reference.     Additionally, for the  notification dispatcher , please  export the following environment variables:   REDIS_HOST   REDIS_PORT    ",1,0,"","","Thursday, October 16th 2025, 6:24:45 pm +05:30","Thursday, December 18th 2025, 3:46:13 pm +05:30","","","Pranab Dutta","Chip1","Feature and Story Backlogs","Feature Backlog","[]","[]","[backend]","[Feature Backlog]","[]","","","","","","","3718 hours",,0,"","","","","","","","","","","","","","","","",0,"","","","","","","","","","","","",""
