Section,Category,Item_Description,Status_Value,Owner,Links
Metadata,Release Info,Environment,Stage,,
Metadata,Release Info,Status,Good,,
Metadata,Release Info,Prod release owner,"@Deepti Vaidyula ,  @Umamahesh @Harika Guntamukkala",,
Metadata,Release Info,Release date,2026.03.24,,
Metadata,Release Info,DB changes,Connect : No change,,
Metadata,Release Info,Platform,No change,,
Metadata,Release Info,Notification, No change,,
Metadata,Release Info,Branch,release/2026.03.24,,
Artefacts,Artefacts,Chip1 Part,2026.03.24.0,,
Artefacts,Artefacts,Chip1 Transaction,2026.03.24.1,,
Artefacts,Artefacts,Chip1 CRM WebUI,2026.03.19.9,,
Artefacts,Artefacts,Production Test Data,,,
Artefacts,Artefacts,Update production test data generated here,https://docs.google.com/spreadsheets/d/1jQQV8nW7Rlz6OD6bs4qdRfk517clUb5TRfFz47FoR3s/edit?gid=0#gid=0,,
Artefacts,Artefacts,QE documentation link,"https://altirllc.sharepoint.com/:w:/r/sites/Altir-Chip1/Shared%20Documents/General/Quality%20Engineering/Project%20documents/Chip1%20QE%20Documentation.docx?d=w75141a22221e423a9dd922e367268bb5&csf=1&web=1&e=gWiCGh ## WHAT'S TESTED FOR THE RELEASE? Sourcing -Handling Supplier name resolving with -1 region(ensure supplier name showing in list)-Harika - Due to data issue can't check in stage, need to check on prod Create Quote quantity issues, reported(Create Quote is taking quantity as 1 even though I entered 1000)- Harika - verified",,
Artefacts,Artefacts,Is Approved customer validation - Deepti  - Verified - Private ( https,"//app.clickup.com/t/8651091/CHP-5555 ) Public Part Details API, adjusting stock counts. - Sandeep ### UI ENHANCEMENTS Account - Addresses modal add/edit flow ( ) Use readonly cards to display addresses. Implement a modal to add/edit an address. See PR for images.  @Harika Guntamukkala Account - Addresses section ( ) @Harika Guntamukkala Account - Approve for Purchase/Sales, handle errors ( ) @Harika Guntamukkala Create RFQ - Allow paste by default ( ) @Harika Guntamukkala",,
Artefacts,Artefacts,feat(purchase-order-line),use user region currency for fallback in cost tables and summaries ( )  @Umamahesh -Bug,,
Artefacts,Artefacts,feat(sourcing),Update Quantity Allocation Column in Stock List ( )  @Harika Guntamukkala,,
Artefacts,Artefacts,feat,add GitHub Actions workflow for generating changelog ( ) Fix permission and validation issues; update tests and features (,,
Artefacts,Artefacts,") This pull request addresses multiple issues, including fixing incorrect validation logic for required fields and improving the scope and accuracy of permission handling for various tabs. Key changes include"," Fixed a validation issue in useIsFieldRequired to prevent marking unnecessary fields as required.  @Deepti Vaidyula Added and enforced VIEW permission scope across different tabs (Documents, Offers, Quality Control). @Deepti Vaidyula Introduced isReadOnly prop and wired it through the UI components for permissions handling. @Deepti Vaidyula",,
Artefacts,Artefacts,"Replaced unhelpful, tautological tests with meaningful tests using renderHook. These changes enhance the functionality and reliability of form validation and permission enforcement, providing better compliance with user requirements. Original request on SO for junior sales person", Offers - Currently create and editable but it should be View only  @Deepti Vaidyula QC - Currently editable but it should be View only  @Deepti Vaidyula Documents - Currently create and editable but it should be View only  @Deepti Vaidyula Fix user identification in Sentry integration (,,
Artefacts,Artefacts,) This fixes an issue where user identification in Sentry was broken due to changes in the users/me response format.- fix(generate-changelog),append changelog to step summary instead of uploading as artifact,,
Artefacts,Artefacts,fix(generate-changelog),normalize input refs and update default values in workflow,,
Artefacts,Artefacts,Invoices,"Prioritize fundCode for currency determination in invoice columns ( ) This update adjusts the logic in invoice columns to prioritize fundCode for currency determination, improving accuracy in currency selection and aligning with business requirements.  @Deepti Vaidyula - Verified Make sure asem.it phone number is accepted ( )  @Harika Guntamukkala Offer List - Add type column ( )  @Umamahesh -Bug PO Line - Add currency field ( )  @Umamahesh -Bug Purchase Order Changes - 2026.03.23 ( )  @Umamahesh -Verified Quote form - pre-fill labels, etc; responsive form; ignore obsolete lifecycle values in sentry  (",,
Artefacts,Artefacts,) This pull request introduces the following improvements,"@Harika Guntamukkala Added and styled breakpoints for QuoteItemForm and DetailsIslandForm for better responsiveness. Expanded QuoteItemForm with additional fields to handle sales preferences, such as blackLabels , blankLabel , and partialReels . Implemented getEnumLabelSilent utility and integrated it into components for streamlined label handling. These changes enhance the forms' usability and ensure seamless sales preference configurations.",,
Artefacts,Artefacts,SR,Add QC Level field ( )  @Umamahesh -verified,,
Artefacts,Artefacts,Update,Changed the validations so that * is visible after entering values on the nested fields ( ),,
Artefacts,Artefacts,Update,"Hidden extra card , changed validations , changed initial value selected on opening the search  ( ) Bugs, Fixes - 20th March 1.docx Changed the validations on RFQLine during Create RFQ flow  @Harika Guntamukkala Hidden the duplicated card on OrderLine InfoPane  @Harika Guntamukkala Changed the defaukt search values from Exact Search to Start…  @Deepti Vaidyula - Bug Open issues on Stage",,
Artefacts,Artefacts,Private ( https,//app.clickup.com/8651091/docs/880ak-50654/880ak-52214 ),,
Artefacts,Artefacts,Issues on stage,- Link Issue Description Remarks,,
Artefacts,Artefacts,Teams #,March24_01 Hindi is missing from 'Preferred Languages' in 'Create Contact' modal.,,
Artefacts,Artefacts,Teams #,March24_02 The header section has overlapping icons in Parts details page,,
Artefacts,Artefacts,Teams #,"March24_03 Mismatch in currency displayed in SR and Offers screen. SR is displayed in Euro, Offer is in dollars, create offer modal has Euro.",,
Artefacts,Artefacts,Teams #,March24_04 Customer -> 'Approved for Sales' is not syncing to xcrm from Apex.,,
Artefacts,Artefacts,Line-level currency handling issue in PO creation,"multiple currencies are ignored, PO IDs use a single prefix, and totals are calculated only in USD — Critical Chevron shows only one line even though PO contains multiple lines — Medium “Inspected Partial Passed” status is not reflected in chevron — Medium PO lines are partially received but no partial indicator/flag is shown — Medium QC level is getting removed upon receiving, even though it was carried from PO — Critical Some open market offers are appearing in the Sourcing Request offer list — Critical Allocation / Backorder is not being set correctly in xcrm — Critical “Updated By” value is not displayed in PO Line list view — Medium",,
Artefacts,Artefacts,Issues on prod,- Link Issue Description Remarks ---,,
